"ICD10CM","PHECODE","Exl. Phecodes","Excl. Phenotypes"
"A18.50","010","010-041.99","bacterial infection"
"A18.51",379.1,"375-379.99","other eye disorders"
"A18.51","010","010-041.99","bacterial infection"
"A18.52","010","010-041.99","bacterial infection"
"A18.53","010","010-041.99","bacterial infection"
"A18.54","010","010-041.99","bacterial infection"
"A18.59","010","010-041.99","bacterial infection"
"A18.6","010","010-041.99","bacterial infection"
"A18.7","010","010-041.99","bacterial infection"
"A18.8","010","010-041.99","bacterial infection"
"A18.81","010","010-041.99","bacterial infection"
"A18.82","010","010-041.99","bacterial infection"
"A18.83","010","010-041.99","bacterial infection"
"A18.84","010","010-041.99","bacterial infection"
"A18.85","010","010-041.99","bacterial infection"
"A18.89","010","010-041.99","bacterial infection"
"A19","010","010-041.99","bacterial infection"
"A19.0","010","010-041.99","bacterial infection"
"A19.1","010","010-041.99","bacterial infection"
"A19.2","010","010-041.99","bacterial infection"
"A19.8","010","010-041.99","bacterial infection"
"A19.9","010","010-041.99","bacterial infection"
"A20","041","010-041.99","bacterial infection"
"A20.0","041","010-041.99","bacterial infection"
"A20.1",686,"680-686.99","Skin and subcutaneous tissue infections"
"A20.2",480.1,"480-488.99","Pneumonia and influenza"
"A20.3","041","010-041.99","bacterial infection"
"A20.7","038.1","010-041.99","bacterial infection"
"A20.8","041","010-041.99","bacterial infection"
"A20.9","041","010-041.99","bacterial infection"
"A21","041","010-041.99","bacterial infection"
"A21.0",686,"680-686.99","Skin and subcutaneous tissue infections"
"A21.1",369,"369-374.99","infection/inflammation of eye"
"A21.2",480.1,"480-488.99","Pneumonia and influenza"
"A21.3","008","001-009.99","Intestinal infection"
"A21.7","041","010-041.99","bacterial infection"
"A21.8","041","010-041.99","bacterial infection"
"A21.9","041","010-041.99","bacterial infection"
"A22","041","010-041.99","bacterial infection"
"A22.0",686,"680-686.99","Skin and subcutaneous tissue infections"
"A22.1",480.1,"480-488.99","Pneumonia and influenza"
"A22.2","008","001-009.99","Intestinal infection"
"A22.7","038.2","010-041.99","bacterial infection"
"A22.8","041","010-041.99","bacterial infection"
"A22.9","041","010-041.99","bacterial infection"
"A23","041","010-041.99","bacterial infection"
"A23.0","041","010-041.99","bacterial infection"
"A23.1","041","010-041.99","bacterial infection"
"A23.2","041","010-041.99","bacterial infection"
"A23.3","041","010-041.99","bacterial infection"
"A23.8","041","010-041.99","bacterial infection"
"A23.9","041","010-041.99","bacterial infection"
"A24","041","010-041.99","bacterial infection"
"A24.0","041","010-041.99","bacterial infection"
"A24.1","041","010-041.99","bacterial infection"
"A24.2","041","010-041.99","bacterial infection"
"A24.3","041","010-041.99","bacterial infection"
"A24.9","041","010-041.99","bacterial infection"
"A25","041","010-041.99","bacterial infection"
"A25.0","041","010-041.99","bacterial infection"
"A25.1",711,"710-716.99","Arthropathies"
"A25.9","041","010-041.99","bacterial infection"
"A26",686,"680-686.99","Skin and subcutaneous tissue infections"
"A26.0",529.1,"527-529.99","Diseases of mouth; excluding dental"
"A26.0","041","010-041.99","bacterial infection"
"A26.7",994.2,"994-994.99","Sepsis and SIRS"
"A26.7","041","010-041.99","bacterial infection"
"A26.8","041","010-041.99","bacterial infection"
"A26.9","041","010-041.99","bacterial infection"
"A27",130,"130-136.99","Other infections; including parasitic"
"A27.0",130,"130-136.99","Other infections; including parasitic"
"A27.81",320,"320-326.9","INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM"
"A27.89",130,"130-136.99","Other infections; including parasitic"
"A27.9",130,"130-136.99","Other infections; including parasitic"
"A28.0","041","010-041.99","bacterial infection"
"A28.1","079","050-079.99","Viral infection"
"A28.2","041","010-041.99","bacterial infection"
"A28.8","041","010-041.99","bacterial infection"
"A28.9","041","010-041.99","bacterial infection"
"A30","031.1","010-041.99","bacterial infection"
"A30.0","031.1","010-041.99","bacterial infection"
"A30.1","031.1","010-041.99","bacterial infection"
"A30.2","031.1","010-041.99","bacterial infection"
"A30.3","031.1","010-041.99","bacterial infection"
"A30.4","031.1","010-041.99","bacterial infection"
"A30.5","031.1","010-041.99","bacterial infection"
"A30.8","031.1","010-041.99","bacterial infection"
"A30.9","031.1","010-041.99","bacterial infection"
"A31.0",480.1,"480-488.99","Pneumonia and influenza"
"A31.1",686,"680-686.99","Skin and subcutaneous tissue infections"
"A31.2","031","010-041.99","bacterial infection"
"A31.8","031","010-041.99","bacterial infection"
"A31.9","031","010-041.99","bacterial infection"
"A32","041","010-041.99","bacterial infection"
"A32.0","041","010-041.99","bacterial infection"
"A32.1","041","010-041.99","bacterial infection"
"A32.11","041","010-041.99","bacterial infection"
"A32.12","041","010-041.99","bacterial infection"
"A32.7",994.2,"994-994.99","Sepsis and SIRS"
"A32.7","041","010-041.99","bacterial infection"
"A32.8","041","010-041.99","bacterial infection"
"A32.81","041","010-041.99","bacterial infection"
"A32.82","041","010-041.99","bacterial infection"
"A32.89","041","010-041.99","bacterial infection"
"A32.9","041","010-041.99","bacterial infection"
"A33",657,"657-657.99","Infections specific to the perinatal period"
"A34",639,"634-639.99"," miscarriage, early labor, hemorrhage"
"A35","041","010-041.99","bacterial infection"
"A36","041","010-041.99","bacterial infection"
"A36.0",465,"460-469.99","acute upper respiratory infections"
"A36.1",465,"460-469.99","acute upper respiratory infections"
"A36.2",465,"460-469.99","acute upper respiratory infections"
"A36.3",686,"680-686.99","Skin and subcutaneous tissue infections"
"A36.81",420.1,"420-425.99","Other peri-; endo-; and myocarditis"
"A36.82","041","010-041.99","bacterial infection"
"A36.83","041","010-041.99","bacterial infection"
"A36.84","041","010-041.99","bacterial infection"
"A36.85",592.1,"590-593.99","Urinary tract infections"
"A36.86",369,"369-374.99","infection/inflammation of eye"
"A36.89",567,"565-569.99","Other gastrointestinal"
"A36.9","041","010-041.99","bacterial infection"
"A37","041","010-041.99","bacterial infection"
"A37.0","041","010-041.99","bacterial infection"
"A37.00","041","010-041.99","bacterial infection"
"A37.01",480.1,"480-488.99","Pneumonia and influenza"
"A37.01","041","010-041.99","bacterial infection"
"A37.1","041","010-041.99","bacterial infection"
"A37.10","041","010-041.99","bacterial infection"
"A37.11",480.1,"480-488.99","Pneumonia and influenza"
"A37.11","041","010-041.99","bacterial infection"
"A37.80","041","010-041.99","bacterial infection"
"A37.81",480.1,"480-488.99","Pneumonia and influenza"
"A37.81","041","010-041.99","bacterial infection"
"A37.90","041","010-041.99","bacterial infection"
"A37.91",480.1,"480-488.99","Pneumonia and influenza"
"A37.91","041","010-041.99","bacterial infection"
"A38","041.2","010-041.99","bacterial infection"
"A38.0","041.2","010-041.99","bacterial infection"
"A38.1","041.2","010-041.99","bacterial infection"
"A38.8","041.2","010-041.99","bacterial infection"
"A38.9","041.2","010-041.99","bacterial infection"
"A39","041","010-041.99","bacterial infection"
"A39.0",320,"320-326.9","INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM"
"A39.1","041","010-041.99","bacterial infection"
"A39.2","038.1","010-041.99","bacterial infection"
"A39.3","038.1","010-041.99","bacterial infection"
"A39.4","038.1","010-041.99","bacterial infection"
"A39.5",420,"420-425.99","Other peri-; endo-; and myocarditis"
"A39.50",420,"420-425.99","Other peri-; endo-; and myocarditis"
"A39.51",420.3,"420-425.99","Other peri-; endo-; and myocarditis"
"A39.52",420.1,"420-425.99","Other peri-; endo-; and myocarditis"
"A39.53",420.2,"420-425.99","Other peri-; endo-; and myocarditis"
"A39.81",323,"320-326.9","INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM"
"A39.82","041","010-041.99","bacterial infection"
"A39.83",711,"710-716.99","Arthropathies"
"A39.84",711,"710-716.99","Arthropathies"
"A39.89","041","010-041.99","bacterial infection"
"A39.9","041","010-041.99","bacterial infection"
"A40","038.1","010-041.99","bacterial infection"
"A40.0",994.2,"994-994.99","Sepsis and SIRS"
"A40.0","038.1","010-041.99","bacterial infection"
"A40.1",994.2,"994-994.99","Sepsis and SIRS"
"A40.1","038.1","010-041.99","bacterial infection"
"A40.3","038.2","010-041.99","bacterial infection"
"A40.8",994.2,"994-994.99","Sepsis and SIRS"
"A40.8","038.1","010-041.99","bacterial infection"
"A40.9","038.1","010-041.99","bacterial infection"
"A41.0","038.2","010-041.99","bacterial infection"
"A41.01","038.2","010-041.99","bacterial infection"
"A41.02","038.2","010-041.99","bacterial infection"
"A41.1",994.2,"994-994.99","Sepsis and SIRS"
"A41.1","038.2","010-041.99","bacterial infection"
"A41.2",994.2,"994-994.99","Sepsis and SIRS"
"A41.2","038.2","010-041.99","bacterial infection"
"A41.3","038.1","010-041.99","bacterial infection"
"A41.4",994.2,"994-994.99","Sepsis and SIRS"
"A41.4","038","010-041.99","bacterial infection"
"A41.50","038.1","010-041.99","bacterial infection"
"A41.51",994.2,"994-994.99","Sepsis and SIRS"
"A41.51","038.1","010-041.99","bacterial infection"
"A41.52","038.1","010-041.99","bacterial infection"
"A41.53","038.1","010-041.99","bacterial infection"
"A41.59",994.2,"994-994.99","Sepsis and SIRS"
"A41.59","038.1","010-041.99","bacterial infection"
"A41.81",994.2,"994-994.99","Sepsis and SIRS"
"A41.81","038","010-041.99","bacterial infection"
"A41.89",994.2,"994-994.99","Sepsis and SIRS"
"A41.89","038","010-041.99","bacterial infection"
"A41.9",994.2,"994-994.99","Sepsis and SIRS"
"A41.9","038","010-041.99","bacterial infection"
