"ICD10CM","PHECODE","Exl. Phecodes","Excl. Phenotypes"
"M84.444K",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.444P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"M84.444P",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.444S",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.445",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.445A",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.445D",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.445G",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.445K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"M84.445K",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.445P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"M84.445P",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.445S",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.446",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.446A",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.446D",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.446G",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.446K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"M84.446K",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.446P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"M84.446P",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.446S",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.45",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.451",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.451A",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.451D",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.451G",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.451K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"M84.451K",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.451P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"M84.451P",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.451S",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.452",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.452A",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.452D",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.452G",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.452K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"M84.452K",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.452P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"M84.452P",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.452S",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.453",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.453A",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.453D",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.453G",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.453K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"M84.453K",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.453P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"M84.453P",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.453S",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.454",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.454A",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.454D",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.454G",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.454K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"M84.454K",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.454P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"M84.454P",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.454S",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.459",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.459A",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.459D",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.459G",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.459K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"M84.459K",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.459P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"M84.459P",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.459S",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.46",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.461",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.461A",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.461D",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.461G",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.461K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"M84.461K",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.461P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"M84.461P",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.461S",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.462",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.462A",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.462D",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.462G",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.462K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"M84.462K",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.462P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"M84.462P",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.462S",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.463",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.463A",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.463D",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.463G",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.463K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"M84.463K",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.463P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"M84.463P",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.463S",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.464",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.464A",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.464D",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.464G",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.464K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"M84.464K",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.464P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"M84.464P",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.464S",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.469",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.469A",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.469D",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.469G",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.469K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"M84.469K",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.469P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"M84.469P",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.469S",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.47",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.471",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.471A",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.471D",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.471G",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.471K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"M84.471K",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.471P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"M84.471P",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.471S",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.472",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.472A",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.472D",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.472G",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.472K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"M84.472K",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.472P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"M84.472P",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.472S",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.473",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.473A",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.473D",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.473G",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.473K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"M84.473K",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.473P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"M84.473P",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.473S",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.474",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.474A",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.474D",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.474G",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.474K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"M84.474K",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.474P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"M84.474P",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.474S",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.475",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.475A",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.475D",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.475G",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.475K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"M84.475K",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.475P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"M84.475P",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.475S",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.476",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.476A",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.476D",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.476G",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.476K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"M84.476K",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.476P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"M84.476P",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.476S",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.477",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.477A",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.477D",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.477G",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.477K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"M84.477K",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.477P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"M84.477P",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.477S",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.478",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.478A",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.478D",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.478G",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.478K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"M84.478K",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.478P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"M84.478P",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.478S",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.479",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.479A",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.479D",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.479G",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.479K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"M84.479K",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.479P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"M84.479P",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.479S",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.48",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.48XA",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.48XD",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.48XG",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.48XK",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"M84.48XK",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.48XP",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"M84.48XP",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.48XS",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.5",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.50",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.50XA",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.50XD",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.50XG",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.50XK",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"M84.50XK",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.50XP",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"M84.50XP",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.50XS",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.51",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.511",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.511A",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.511D",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.511G",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.511K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"M84.511K",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.511P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"M84.511P",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.511S",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.512",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.512A",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.512D",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.512G",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.512K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"M84.512K",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.512P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"M84.512P",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.512S",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.519",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.519A",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.519D",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.519G",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.519K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"M84.519K",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.519P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"M84.519P",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.519S",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.52",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.521",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.521A",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.521D",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.521G",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.521K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"M84.521K",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.521P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"M84.521P",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.521S",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.522",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.522A",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.522D",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.522G",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.522K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"M84.522K",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.522P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"M84.522P",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.522S",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.529",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.529A",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.529D",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.529G",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.529K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"M84.529K",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.529P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"M84.529P",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.529S",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.53",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.531",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.531A",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.531D",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.531G",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.531K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"M84.531K",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.531P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"M84.531P",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.531S",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.532",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.532A",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.532D",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.532G",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.532K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"M84.532K",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.532P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"M84.532P",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.532S",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.533",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.533A",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.533D",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.533G",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.533K",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"M84.533K",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.533P",733.8,"730-739.99","OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
"M84.533P",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
"M84.533S",743.2,"743-744.99"," osteopenia, osteoporosis, pathological fractures"
